userName,score,at,content,Cleaning,HapusEmoji,3/Lebih,CaseFolding
Pengguna Positif,5,2026-01-04 14:19:18,Terima kasih tokopedia fitur cod nya sangat berguna buat saya,Terima kasih tokopedia fitur cod nya sangat berguna buat saya,Terima kasih tokopedia fitur cod nya sangat berguna buat saya,Terima kasih tokopedia fitur cod nya sangat berguna buat saya,terima kasih tokopedia fitur cod nya sangat berguna buat saya
Pengguna Positif,5,2026-01-04 14:19:18,"Keren fiturnya, lanjutkan tokopedia","Keren fiturnya, lanjutkan tokopedia","Keren fiturnya, lanjutkan tokopedia","Keren fiturnya, lanjutkan tokopedia","keren fiturnya, lanjutkan tokopedia"
Pengguna Positif,5,2026-01-04 14:19:18,Bintang 5 buat fitur COD nya,Bintang 5 buat fitur COD nya,Bintang 5 buat fitur COD nya,Bintang 5 buat fitur COD nya,bintang 5 buat fitur cod nya
Pengguna Positif,5,2026-01-04 14:19:18,Gapernah nyesel pake COD tokopedia,Gapernah nyesel pake COD tokopedia,Gapernah nyesel pake COD tokopedia,Gapernah nyesel pake COD tokopedia,gapernah nyesel pake cod tokopedia
Pengguna Positif,5,2026-01-04 14:19:18,"Aplikasi terbaik, fitur COD nya juara","Aplikasi terbaik, fitur COD nya juara","Aplikasi terbaik, fitur COD nya juara","Aplikasi terbaik, fitur COD nya juara","aplikasi terbaik, fitur cod nya juara"
Pengguna Positif,5,2026-01-04 14:19:18,Puas banget sama sistem pembayarannya,Puas banget sama sistem pembayarannya,Puas banget sama sistem pembayarannya,Puas banget sama sistem pembayarannya,puas banget sama sistem pembayarannya
Pengguna Positif,5,2026-01-04 14:19:18,Pengalaman COD di Tokopedia selalu menyenangkan,Pengalaman COD di Tokopedia selalu menyenangkan,Pengalaman COD di Tokopedia selalu menyenangkan,Pengalaman COD di Tokopedia selalu menyenangkan,pengalaman cod di tokopedia selalu menyenangkan
Pengguna Positif,5,2026-01-04 14:19:18,"Senang sekali bisa bayar di tempat, sangat membantu","Senang sekali bisa bayar di tempat, sangat membantu","Senang sekali bisa bayar di tempat, sangat membantu","Senang sekali bisa bayar di tempat, sangat membantu","senang sekali bisa bayar di tempat, sangat membantu"
Pengguna Positif,5,2026-01-04 14:19:18,"Bagus banget, barang datang baru bayar","Bagus banget, barang datang baru bayar","Bagus banget, barang datang baru bayar","Bagus banget, barang datang baru bayar","bagus banget, barang datang baru bayar"
Pengguna Positif,5,2026-01-04 14:19:18,"Suka banget belanja di sini bisa bayar ditempat, prosesnya mudah","Suka banget belanja di sini bisa bayar ditempat, prosesnya mudah","Suka banget belanja di sini bisa bayar ditempat, prosesnya mudah","Suka banget belanja di sini bisa bayar ditempat, prosesnya mudah","suka banget belanja di sini bisa bayar ditempat, prosesnya mudah"
Pengguna Positif,5,2026-01-04 14:19:18,Gapernah nyesel pake COD tokopedia,Gapernah nyesel pake COD tokopedia,Gapernah nyesel pake COD tokopedia,Gapernah nyesel pake COD tokopedia,gapernah nyesel pake cod tokopedia
Pengguna Positif,5,2026-01-04 14:19:18,"Tokopedia mantap, cod nya lancar jaya","Tokopedia mantap, cod nya lancar jaya","Tokopedia mantap, cod nya lancar jaya","Tokopedia mantap, cod nya lancar jaya","tokopedia mantap, cod nya lancar jaya"
Pengguna Positif,5,2026-01-04 14:19:18,"Barang cepat sampai dan bisa bayar di tempat, sangat praktis","Barang cepat sampai dan bisa bayar di tempat, sangat praktis","Barang cepat sampai dan bisa bayar di tempat, sangat praktis","Barang cepat sampai dan bisa bayar di tempat, sangat praktis","barang cepat sampai dan bisa bayar di tempat, sangat praktis"
Pengguna Positif,5,2026-01-04 14:19:18,"Barang cepat sampai dan bisa bayar di tempat, sangat praktis","Barang cepat sampai dan bisa bayar di tempat, sangat praktis","Barang cepat sampai dan bisa bayar di tempat, sangat praktis","Barang cepat sampai dan bisa bayar di tempat, sangat praktis","barang cepat sampai dan bisa bayar di tempat, sangat praktis"
Pengguna Positif,5,2026-01-04 14:19:18,Layanan COD terbaik dibanding marketplace lain,Layanan COD terbaik dibanding marketplace lain,Layanan COD terbaik dibanding marketplace lain,Layanan COD terbaik dibanding marketplace lain,layanan cod terbaik dibanding marketplace lain
Pengguna Positif,5,2026-01-04 14:19:18,Sangat recomended buat yang mau COD an,Sangat recomended buat yang mau COD an,Sangat recomended buat yang mau COD an,Sangat recomended buat yang mau COD an,sangat recomended buat yang mau cod an
Pengguna Positif,5,2026-01-04 14:19:18,"Suka fitur ini, sangat membantu bagi yang tidak punya rekening","Suka fitur ini, sangat membantu bagi yang tidak punya rekening","Suka fitur ini, sangat membantu bagi yang tidak punya rekening","Suka fitur ini, sangat membantu bagi yang tidak punya rekening","suka fitur ini, sangat membantu bagi yang tidak punya rekening"
Pengguna Positif,5,2026-01-04 14:19:18,"Tidak pernah kecewa dengan fitur cod tokopedia, selalu sukses","Tidak pernah kecewa dengan fitur cod tokopedia, selalu sukses","Tidak pernah kecewa dengan fitur cod tokopedia, selalu sukses","Tidak pernah kecewa dengan fitur cod tokopedia, selalu sukses","tidak pernah kecewa dengan fitur cod tokopedia, selalu sukses"
Pengguna Positif,5,2026-01-04 14:19:18,"Fitur COD sangat membantu saya, terima kasih Tokopedia","Fitur COD sangat membantu saya, terima kasih Tokopedia","Fitur COD sangat membantu saya, terima kasih Tokopedia","Fitur COD sangat membantu saya, terima kasih Tokopedia","fitur cod sangat membantu saya, terima kasih tokopedia"
Pengguna Positif,5,2026-01-04 14:19:18,Cod nya cepet banget sampainya,Cod nya cepet banget sampainya,Cod nya cepet banget sampainya,Cod nya cepet banget sampainya,cod nya cepet banget sampainya
Pengguna Positif,5,2026-01-04 14:19:18,Cod nya cepet banget sampainya,Cod nya cepet banget sampainya,Cod nya cepet banget sampainya,Cod nya cepet banget sampainya,cod nya cepet banget sampainya
Pengguna Positif,5,2026-01-04 14:19:18,Sangat recomended buat yang mau COD an,Sangat recomended buat yang mau COD an,Sangat recomended buat yang mau COD an,Sangat recomended buat yang mau COD an,sangat recomended buat yang mau cod an
Pengguna Positif,5,2026-01-04 14:19:18,"Gampang banget makenya, cod an yuk","Gampang banget makenya, cod an yuk","Gampang banget makenya, cod an yuk","Gampang banget makenya, cod an yuk","gampang banget makenya, cod an yuk"
Pengguna Positif,5,2026-01-04 14:19:18,Tokopedia emang paling ngerti kebutuhan pembeli dengan adanya COD,Tokopedia emang paling ngerti kebutuhan pembeli dengan adanya COD,Tokopedia emang paling ngerti kebutuhan pembeli dengan adanya COD,Tokopedia emang paling ngerti kebutuhan pembeli dengan adanya COD,tokopedia emang paling ngerti kebutuhan pembeli dengan adanya cod
Pengguna Positif,5,2026-01-04 14:19:18,"Cod lancar, barang oke, kurir ramah","Cod lancar, barang oke, kurir ramah","Cod lancar, barang oke, kurir ramah","Cod lancar, barang oke, kurir ramah","cod lancar, barang oke, kurir ramah"
Pengguna Positif,5,2026-01-04 14:19:18,"Tidak pernah kecewa dengan fitur cod tokopedia, selalu sukses","Tidak pernah kecewa dengan fitur cod tokopedia, selalu sukses","Tidak pernah kecewa dengan fitur cod tokopedia, selalu sukses","Tidak pernah kecewa dengan fitur cod tokopedia, selalu sukses","tidak pernah kecewa dengan fitur cod tokopedia, selalu sukses"
Pengguna Positif,5,2026-01-04 14:19:18,"Tokopedia mantap, cod nya lancar jaya","Tokopedia mantap, cod nya lancar jaya","Tokopedia mantap, cod nya lancar jaya","Tokopedia mantap, cod nya lancar jaya","tokopedia mantap, cod nya lancar jaya"
Pengguna Positif,5,2026-01-04 14:19:18,Selalu puas dengan layanan COD disini,Selalu puas dengan layanan COD disini,Selalu puas dengan layanan COD disini,Selalu puas dengan layanan COD disini,selalu puas dengan layanan cod disini
Pengguna Positif,5,2026-01-04 14:19:18,"Barang cepat sampai dan bisa bayar di tempat, sangat praktis","Barang cepat sampai dan bisa bayar di tempat, sangat praktis","Barang cepat sampai dan bisa bayar di tempat, sangat praktis","Barang cepat sampai dan bisa bayar di tempat, sangat praktis","barang cepat sampai dan bisa bayar di tempat, sangat praktis"
Pengguna Positif,5,2026-01-04 14:19:18,"Tokopedia mantap, cod nya lancar jaya","Tokopedia mantap, cod nya lancar jaya","Tokopedia mantap, cod nya lancar jaya","Tokopedia mantap, cod nya lancar jaya","tokopedia mantap, cod nya lancar jaya"
Pengguna Positif,5,2026-01-04 14:19:18,"Keren fiturnya, lanjutkan tokopedia","Keren fiturnya, lanjutkan tokopedia","Keren fiturnya, lanjutkan tokopedia","Keren fiturnya, lanjutkan tokopedia","keren fiturnya, lanjutkan tokopedia"
Pengguna Positif,5,2026-01-04 14:19:18,Sangat recomended buat yang mau COD an,Sangat recomended buat yang mau COD an,Sangat recomended buat yang mau COD an,Sangat recomended buat yang mau COD an,sangat recomended buat yang mau cod an
Pengguna Positif,5,2026-01-04 14:19:18,Fitur bayar di tempat ini sangat memudahkan pembeli,Fitur bayar di tempat ini sangat memudahkan pembeli,Fitur bayar di tempat ini sangat memudahkan pembeli,Fitur bayar di tempat ini sangat memudahkan pembeli,fitur bayar di tempat ini sangat memudahkan pembeli
Pengguna Positif,5,2026-01-04 14:19:18,"Mantap tokopedia, COD nya bisa diandalkan","Mantap tokopedia, COD nya bisa diandalkan","Mantap tokopedia, COD nya bisa diandalkan","Mantap tokopedia, COD nya bisa diandalkan","mantap tokopedia, cod nya bisa diandalkan"
Pengguna Positif,5,2026-01-04 14:19:18,"Cod lancar, barang oke, kurir ramah","Cod lancar, barang oke, kurir ramah","Cod lancar, barang oke, kurir ramah","Cod lancar, barang oke, kurir ramah","cod lancar, barang oke, kurir ramah"
Pengguna Positif,5,2026-01-04 14:19:18,"Cod lancar, barang oke, kurir ramah","Cod lancar, barang oke, kurir ramah","Cod lancar, barang oke, kurir ramah","Cod lancar, barang oke, kurir ramah","cod lancar, barang oke, kurir ramah"
Pengguna Positif,5,2026-01-04 14:19:18,"Sangat memuaskan, cod tanpa ribet dan kurir sopan","Sangat memuaskan, cod tanpa ribet dan kurir sopan","Sangat memuaskan, cod tanpa ribet dan kurir sopan","Sangat memuaskan, cod tanpa ribet dan kurir sopan","sangat memuaskan, cod tanpa ribet dan kurir sopan"
Pengguna Positif,5,2026-01-04 14:19:18,Solusi belanja online tanpa ribet ya COD Tokopedia,Solusi belanja online tanpa ribet ya COD Tokopedia,Solusi belanja online tanpa ribet ya COD Tokopedia,Solusi belanja online tanpa ribet ya COD Tokopedia,solusi belanja online tanpa ribet ya cod tokopedia
Pengguna Positif,5,2026-01-04 14:19:18,"Barang cepat sampai dan bisa bayar di tempat, sangat praktis","Barang cepat sampai dan bisa bayar di tempat, sangat praktis","Barang cepat sampai dan bisa bayar di tempat, sangat praktis","Barang cepat sampai dan bisa bayar di tempat, sangat praktis","barang cepat sampai dan bisa bayar di tempat, sangat praktis"
Pengguna Positif,5,2026-01-04 14:19:18,Gapernah nyesel pake COD tokopedia,Gapernah nyesel pake COD tokopedia,Gapernah nyesel pake COD tokopedia,Gapernah nyesel pake COD tokopedia,gapernah nyesel pake cod tokopedia
Pengguna Positif,5,2026-01-04 14:19:18,Terima kasih tokopedia fitur cod nya sangat berguna buat saya,Terima kasih tokopedia fitur cod nya sangat berguna buat saya,Terima kasih tokopedia fitur cod nya sangat berguna buat saya,Terima kasih tokopedia fitur cod nya sangat berguna buat saya,terima kasih tokopedia fitur cod nya sangat berguna buat saya
Pengguna Positif,5,2026-01-04 14:19:18,"Keren fiturnya, lanjutkan tokopedia","Keren fiturnya, lanjutkan tokopedia","Keren fiturnya, lanjutkan tokopedia","Keren fiturnya, lanjutkan tokopedia","keren fiturnya, lanjutkan tokopedia"
Pengguna Positif,5,2026-01-04 14:19:18,Gapernah nyesel pake COD tokopedia,Gapernah nyesel pake COD tokopedia,Gapernah nyesel pake COD tokopedia,Gapernah nyesel pake COD tokopedia,gapernah nyesel pake cod tokopedia
Pengguna Positif,5,2026-01-04 14:19:18,Terima kasih tokopedia fitur cod nya sangat berguna buat saya,Terima kasih tokopedia fitur cod nya sangat berguna buat saya,Terima kasih tokopedia fitur cod nya sangat berguna buat saya,Terima kasih tokopedia fitur cod nya sangat berguna buat saya,terima kasih tokopedia fitur cod nya sangat berguna buat saya
Pengguna Positif,5,2026-01-04 14:19:18,"Belanja makin mudah dengan cod, tidak perlu transfer","Belanja makin mudah dengan cod, tidak perlu transfer","Belanja makin mudah dengan cod, tidak perlu transfer","Belanja makin mudah dengan cod, tidak perlu transfer","belanja makin mudah dengan cod, tidak perlu transfer"
Pengguna Positif,5,2026-01-04 14:19:18,Puas banget sama sistem pembayarannya,Puas banget sama sistem pembayarannya,Puas banget sama sistem pembayarannya,Puas banget sama sistem pembayarannya,puas banget sama sistem pembayarannya
Pengguna Positif,5,2026-01-04 14:19:18,"Gampang banget makenya, cod an yuk","Gampang banget makenya, cod an yuk","Gampang banget makenya, cod an yuk","Gampang banget makenya, cod an yuk","gampang banget makenya, cod an yuk"
Pengguna Positif,5,2026-01-04 14:19:18,Bintang 5 buat fitur COD nya,Bintang 5 buat fitur COD nya,Bintang 5 buat fitur COD nya,Bintang 5 buat fitur COD nya,bintang 5 buat fitur cod nya
Pengguna Positif,5,2026-01-04 14:19:18,Cod nya cepet banget sampainya,Cod nya cepet banget sampainya,Cod nya cepet banget sampainya,Cod nya cepet banget sampainya,cod nya cepet banget sampainya
Pengguna Positif,5,2026-01-04 14:19:18,"Kurirnya ramah, barang sesuai pesanan, cod aman banget","Kurirnya ramah, barang sesuai pesanan, cod aman banget","Kurirnya ramah, barang sesuai pesanan, cod aman banget","Kurirnya ramah, barang sesuai pesanan, cod aman banget","kurirnya ramah, barang sesuai pesanan, cod aman banget"
Pengguna Positif,5,2026-01-04 14:19:18,"Tidak pernah kecewa dengan fitur cod tokopedia, selalu sukses","Tidak pernah kecewa dengan fitur cod tokopedia, selalu sukses","Tidak pernah kecewa dengan fitur cod tokopedia, selalu sukses","Tidak pernah kecewa dengan fitur cod tokopedia, selalu sukses","tidak pernah kecewa dengan fitur cod tokopedia, selalu sukses"
Pengguna Positif,5,2026-01-04 14:19:18,"Sangat memuaskan, cod tanpa ribet dan kurir sopan","Sangat memuaskan, cod tanpa ribet dan kurir sopan","Sangat memuaskan, cod tanpa ribet dan kurir sopan","Sangat memuaskan, cod tanpa ribet dan kurir sopan","sangat memuaskan, cod tanpa ribet dan kurir sopan"
Pengguna Positif,5,2026-01-04 14:19:18,Gapernah nyesel pake COD tokopedia,Gapernah nyesel pake COD tokopedia,Gapernah nyesel pake COD tokopedia,Gapernah nyesel pake COD tokopedia,gapernah nyesel pake cod tokopedia
Pengguna Positif,5,2026-01-04 14:19:18,"Mantap tokopedia, COD nya bisa diandalkan","Mantap tokopedia, COD nya bisa diandalkan","Mantap tokopedia, COD nya bisa diandalkan","Mantap tokopedia, COD nya bisa diandalkan","mantap tokopedia, cod nya bisa diandalkan"
Pengguna Positif,5,2026-01-04 14:19:18,"Keren fiturnya, lanjutkan tokopedia","Keren fiturnya, lanjutkan tokopedia","Keren fiturnya, lanjutkan tokopedia","Keren fiturnya, lanjutkan tokopedia","keren fiturnya, lanjutkan tokopedia"
Pengguna Positif,5,2026-01-04 14:19:18,"Keren fiturnya, lanjutkan tokopedia","Keren fiturnya, lanjutkan tokopedia","Keren fiturnya, lanjutkan tokopedia","Keren fiturnya, lanjutkan tokopedia","keren fiturnya, lanjutkan tokopedia"
Pengguna Positif,5,2026-01-04 14:19:18,Layanan COD terbaik dibanding marketplace lain,Layanan COD terbaik dibanding marketplace lain,Layanan COD terbaik dibanding marketplace lain,Layanan COD terbaik dibanding marketplace lain,layanan cod terbaik dibanding marketplace lain
Pengguna Positif,5,2026-01-04 14:19:18,"Kurirnya ramah, barang sesuai pesanan, cod aman banget","Kurirnya ramah, barang sesuai pesanan, cod aman banget","Kurirnya ramah, barang sesuai pesanan, cod aman banget","Kurirnya ramah, barang sesuai pesanan, cod aman banget","kurirnya ramah, barang sesuai pesanan, cod aman banget"
Pengguna Positif,5,2026-01-04 14:19:18,"Fitur COD sangat membantu saya, terima kasih Tokopedia","Fitur COD sangat membantu saya, terima kasih Tokopedia","Fitur COD sangat membantu saya, terima kasih Tokopedia","Fitur COD sangat membantu saya, terima kasih Tokopedia","fitur cod sangat membantu saya, terima kasih tokopedia"
Pengguna Positif,5,2026-01-04 14:19:18,"Tokopedia mantap, cod nya lancar jaya","Tokopedia mantap, cod nya lancar jaya","Tokopedia mantap, cod nya lancar jaya","Tokopedia mantap, cod nya lancar jaya","tokopedia mantap, cod nya lancar jaya"
Pengguna Positif,5,2026-01-04 14:19:18,"Gampang banget makenya, cod an yuk","Gampang banget makenya, cod an yuk","Gampang banget makenya, cod an yuk","Gampang banget makenya, cod an yuk","gampang banget makenya, cod an yuk"
Pengguna Positif,5,2026-01-04 14:19:18,"Kurirnya ramah, barang sesuai pesanan, cod aman banget","Kurirnya ramah, barang sesuai pesanan, cod aman banget","Kurirnya ramah, barang sesuai pesanan, cod aman banget","Kurirnya ramah, barang sesuai pesanan, cod aman banget","kurirnya ramah, barang sesuai pesanan, cod aman banget"
Pengguna Positif,5,2026-01-04 14:19:18,"Barang cepat sampai dan bisa bayar di tempat, sangat praktis","Barang cepat sampai dan bisa bayar di tempat, sangat praktis","Barang cepat sampai dan bisa bayar di tempat, sangat praktis","Barang cepat sampai dan bisa bayar di tempat, sangat praktis","barang cepat sampai dan bisa bayar di tempat, sangat praktis"
Pengguna Positif,5,2026-01-04 14:19:18,"Tidak pernah kecewa dengan fitur cod tokopedia, selalu sukses","Tidak pernah kecewa dengan fitur cod tokopedia, selalu sukses","Tidak pernah kecewa dengan fitur cod tokopedia, selalu sukses","Tidak pernah kecewa dengan fitur cod tokopedia, selalu sukses","tidak pernah kecewa dengan fitur cod tokopedia, selalu sukses"
Pengguna Positif,5,2026-01-04 14:19:18,Terima kasih tokopedia fitur cod nya sangat berguna buat saya,Terima kasih tokopedia fitur cod nya sangat berguna buat saya,Terima kasih tokopedia fitur cod nya sangat berguna buat saya,Terima kasih tokopedia fitur cod nya sangat berguna buat saya,terima kasih tokopedia fitur cod nya sangat berguna buat saya
Pengguna Positif,5,2026-01-04 14:19:18,COD tokopedia paling aman dan terpercaya,COD tokopedia paling aman dan terpercaya,COD tokopedia paling aman dan terpercaya,COD tokopedia paling aman dan terpercaya,cod tokopedia paling aman dan terpercaya
Pengguna Positif,5,2026-01-04 14:19:18,"Suka fitur ini, sangat membantu bagi yang tidak punya rekening","Suka fitur ini, sangat membantu bagi yang tidak punya rekening","Suka fitur ini, sangat membantu bagi yang tidak punya rekening","Suka fitur ini, sangat membantu bagi yang tidak punya rekening","suka fitur ini, sangat membantu bagi yang tidak punya rekening"
Pengguna Positif,5,2026-01-04 14:19:18,"Barang cepat sampai dan bisa bayar di tempat, sangat praktis","Barang cepat sampai dan bisa bayar di tempat, sangat praktis","Barang cepat sampai dan bisa bayar di tempat, sangat praktis","Barang cepat sampai dan bisa bayar di tempat, sangat praktis","barang cepat sampai dan bisa bayar di tempat, sangat praktis"
